YEAR,OVERALL PICK,NBA TEAM,PLAYER NAME,COLLEGE TEAM,CITY,STATE,CONFERENENCE
2010,10,IND,Paul George,Fresno State,Fresno,CA,Western Athletic Conference
2010,11,NOH,Cole Aldrich,Kansas,Lawrence,KS,Big 12 Conference
2010,12,MEM,Xavier Henry,Kansas,Lawrence,KS,Big 12 Conference
2010,13,TOR,Ed Davis,UNC,Chapel Hill,NC,Atlantic Coast Conference
2010,14,HOU,Patrick Patterson,Kentucky,Lexington,KY,Southeastern Conference
2010,15,MIL,Larry Sanders,Virginia Commonwealth,Richmond,VA,Colonial Athletic Association
2011,1,CLE,Kyrie Irving,Duke,Durham,NC,Atlantic Coast Conference
2011,2,MIN,Derrick Williams,Arizona,Tucson,AZ,Pacific-12 Conference
2011,3,UTA,Enes Freedom,Did not Attend College in U.S.,N/A,N/A,N/A
2011,4,CLE,Tristan Thompson,Texas,Austin,TX,Big 12 Conference
2011,5,TOR,Jonas Valanciunas,Did not Attend College in U.S.,N/A,N/A,N/A
2011,6,WAS,Jan Vesely,Did not Attend College in U.S.,N/A,N/A,N/A
2011,7,SAC,Bismack Biyombo,Did not Attend College in U.S.,N/A,N/A,N/A
2011,8,DET,Brandon Knight,Kentucky,Lexington,KY,Southeastern Conference
2011,9,CHA,Kemba Walker,UCONN,Mansfield,CT,Big East Conference
2011,10,MIL,Jimmer Fredette,BYU,Provo,UT,Mountain West Conference
2011,11,GSW,Klay Thompson,Washington State,Pullman,WA,Pacific-12 Conference
2011,12,UTA,Alec Burks,Colorado,Boulder,CO,Big 12 Conference
2011,13,PHO,Markieff Morris,Kansas,Lawrence,KS,Big 12 Conference
2011,14,HOU,Marcus Morris,Kansas,Lawrence,KS,Big 12 Conference
2011,15,IND,Kawhi Leonard,San Diego State,San Diego,CA,Mountain West Conference
2012,1,NOH,Anthony Davis,Kentucky,Lexington,KY,Southeastern Conference
2012,2,CHA,Michael Kidd-Gilchrist,Kentucky,Lexington,KY,Southeastern Conference
2012,3,WAS,Bradley Beal,Florida,Gainesville,FL,Southeastern Conference
2012,4,CLE,Dion Waiters,Syracuse,Syracuse,NY,American Athletic Conference
